Id,Date,Transaction
0,1/16/2023,-408.46
1,5/9/2020,+823.68
2,6/8/2023,-5.35
3,4/17/2023,+210.87
4,8/18/2020,-2.86
5,6/9/2020,+716.7
6,5/1/2021,-722.28
7,9/8/2022,-282.43
8,5/6/2020,-245.37
9,5/15/2020,+458.88
10,5/6/2020,-131.88
11,4/18/2024,-219.29
12,5/18/2020,-348.74
13,2/14/2023,+53.6
14,6/2/2022,-50.84
15,6/5/2021,-316.16
16,6/6/2021,-468.79
17,6/12/2021,+677.38
18,2/4/2022,+272.25
19,1/17/2020,-954.06
20,6/17/2024,-194.22
21,10/14/2021,+28.32
22,5/13/2020,-617.84
23,6/11/2022,+708.94
24,2/3/2023,-8.49
25,3/7/2020,+110.62
26,3/12/2022,-387.65
27,10/6/2024,+630.65
28,3/15/2021,-441.08
29,3/8/2022,-75.48
30,10/3/2024,-204.19
31,11/14/2024,+679.01
32,2/5/2020,+517.4
33,9/8/2020,+592.38
34,2/1/2023,-268.97
35,4/19/2020,-586.7
36,5/3/2021,+931.86
37,3/7/2023,-510.88
38,5/14/2020,+266.95
39,5/5/2020,-658.19
40,5/9/2020,+61.54
41,3/9/2022,+825.41
42,3/11/2021,-236.92
43,10/13/2021,+512.29
44,11/8/2022,-720.41
45,10/17/2020,-283.49
46,10/11/2021,+340.26
47,5/16/2021,+239.56
48,11/2/2022,-580.33
49,9/8/2023,+209.14
50,11/3/2022,-205.54
51,3/4/2022,+502.88
52,2/6/2022,-914.67
53,2/4/2023,+761.86
54,10/18/2024,-733.91
55,8/7/2022,-642.65
56,8/18/2022,+102.93
57,4/19/2022,-397.08
58,9/3/2024,+794.33
59,2/19/2024,+15.84
60,2/4/2020,-991.67
61,6/10/2020,+94.81
62,5/1/2021,-537.47
63,2/12/2022,-481.1
64,4/9/2020,+181.77
65,9/16/2023,+917.61
66,7/12/2020,+87.5
67,5/16/2023,+205.12
68,3/5/2020,+645.8
69,3/18/2020,+594.88
70,8/14/2024,+842.77
71,3/11/2020,-901.25
72,8/6/2022,+163.87
73,11/6/2020,+488.42
74,5/19/2024,-790.24
75,2/14/2022,+572.32
76,9/8/2023,+366.61
77,6/1/2024,-792.0
78,7/10/2020,-164.03
79,11/18/2023,-167.28
80,9/9/2020,-367.85
81,1/17/2022,+672.21
82,10/11/2020,+824.96
83,7/7/2022,+812.08
84,2/7/2023,+377.43
85,5/4/2023,+704.89
86,11/7/2020,+234.97
87,10/7/2020,+538.13
88,7/1/2022,-422.14
89,10/14/2022,+155.7
90,10/5/2024,+258.6
91,8/10/2020,-188.55
92,4/2/2022,+474.93
93,3/16/2023,-47.09
94,7/2/2021,-323.91
95,3/13/2020,-775.23
96,10/4/2022,-910.74
97,7/4/2023,+360.47
98,1/13/2023,+752.47
99,4/2/2023,+429.81
100,7/18/2020,-816.11
101,5/13/2021,-918.07
102,6/18/2021,+281.02
103,6/17/2024,+157.12
104,4/8/2024,+446.19
105,6/15/2024,+186.68
106,10/3/2024,+715.5
107,5/2/2021,-813.0
108,10/5/2022,-32.26
109,9/19/2023,+61.45
110,5/15/2022,+72.98
111,10/3/2023,+89.56
112,3/5/2024,-864.88
113,7/2/2021,-300.88
114,5/4/2020,+516.58
115,2/13/2024,-407.67
116,6/19/2021,+283.83
117,7/12/2023,-454.95
118,7/14/2021,-508.63
119,4/2/2023,+660.93
120,7/9/2023,+503.01
121,11/6/2022,-148.54
122,8/4/2020,-671.52
123,3/4/2020,-740.23
124,9/5/2021,-346.13
125,1/6/2021,+834.65
126,6/8/2024,-674.99
127,1/8/2022,+189.83
128,8/12/2021,+585.35
129,6/15/2024,+488.53
130,1/6/2023,-50.06
131,8/7/2022,-743.71
132,10/7/2023,+250.11
133,4/2/2020,-667.77
134,1/16/2020,-932.73
135,5/7/2022,+507.7
136,2/8/2023,+881.22
137,6/3/2020,+242.13
138,2/19/2021,+609.73
139,10/15/2020,+143.92
140,8/4/2020,+154.0
141,6/11/2023,-88.89
142,4/13/2023,+514.51
143,5/19/2024,+947.83
144,4/3/2021,+312.04
145,11/2/2024,+934.83
146,11/19/2022,+680.26
147,9/14/2023,-317.14
148,9/2/2020,-753.3
149,2/2/2023,+406.89
150,1/18/2023,-212.62
151,2/11/2024,-810.06
152,5/6/2022,+676.15
153,4/18/2024,-319.27
154,10/13/2020,-479.99
155,2/17/2020,+851.92
156,5/11/2021,+346.31
157,5/5/2023,-386.6
158,2/19/2020,-893.35
159,7/14/2021,-579.57
160,10/15/2020,+387.41
161,10/19/2022,-411.46
162,7/2/2022,-675.69
163,10/6/2023,+620.45
164,2/14/2024,+420.35
165,6/11/2020,+672.31
166,5/14/2024,-75.07
167,8/18/2020,+791.99
168,11/11/2023,-359.88
169,1/16/2020,-87.28
170,8/18/2023,+147.01
171,6/2/2022,-474.98
172,1/5/2021,+488.0
173,11/10/2020,-53.98
174,6/16/2021,+255.33
175,6/10/2023,-139.24
176,7/8/2021,+20.64
177,8/15/2020,-397.11
178,5/1/2023,-302.38
179,7/19/2022,-322.75
180,7/7/2022,-790.81
181,7/7/2023,+345.6
182,9/4/2021,-960.57
183,5/14/2021,+657.72
184,7/5/2022,-525.33
185,8/10/2024,+422.29
186,3/8/2021,+480.24
187,1/4/2022,-220.58
188,5/8/2021,+629.8
189,8/11/2024,+306.43
190,2/12/2021,+982.4
191,2/10/2020,+34.79
192,2/7/2024,-803.61
193,2/12/2020,+756.01
194,6/9/2020,+194.13
195,2/3/2020,+68.87
196,9/10/2022,+410.04
197,6/3/2021,+922.81
198,11/2/2022,+305.8
199,3/8/2023,-515.24
200,2/7/2023,+937.02
201,5/18/2021,-447.0
202,8/3/2022,+594.13
203,2/12/2024,+45.77
204,9/9/2024,+625.82
205,6/4/2020,+962.47
206,4/13/2024,+551.83
207,8/12/2023,-694.38
208,6/1/2023,-896.52
209,4/18/2024,-571.45
210,10/4/2023,+191.93
211,6/4/2022,-992.96
212,3/16/2020,-425.75
213,5/18/2020,+398.18
214,1/3/2022,-965.86
215,4/11/2021,-616.35
216,4/17/2020,-70.28
217,9/19/2023,-679.67
218,2/9/2024,+894.9
219,3/19/2020,-842.59
220,5/13/2024,-683.73
221,4/7/2024,+338.01
222,6/4/2021,+246.97
223,5/8/2022,-977.03
224,8/15/2024,-255.12
225,10/2/2020,-218.12
226,8/11/2023,-114.26
227,8/16/2021,-121.03
228,7/3/2020,-460.17
229,7/1/2024,+792.98
230,9/4/2023,+252.96
231,10/1/2020,-20.74
232,6/15/2023,-734.29
233,6/12/2022,+826.8
234,7/14/2021,+574.4
235,10/11/2020,-402.57
236,5/9/2024,+435.56
237,11/6/2021,+562.21
238,11/19/2024,+617.59
239,3/19/2024,-966.54
240,1/1/2022,-457.37
241,1/6/2020,-208.42
242,1/18/2020,+149.05
243,5/14/2021,-25.95
244,4/7/2020,-846.38
245,4/7/2020,+280.47
246,11/4/2022,+914.06
247,9/16/2021,+674.52
248,4/14/2024,+758.19
249,1/15/2024,+864.7
250,3/16/2023,-788.21
251,7/3/2024,-478.54
252,2/1/2024,-835.04
253,10/14/2020,+180.8
254,11/8/2022,-189.27
255,3/7/2023,-480.03
256,10/18/2024,-794.93
257,3/17/2022,+39.53
258,6/7/2023,+409.99
259,1/9/2022,-788.7
260,1/12/2023,-367.26
261,6/6/2021,-962.69
262,8/2/2024,-443.75
263,1/4/2020,+427.43
264,3/12/2021,-26.49
265,3/6/2020,+762.86
266,9/19/2024,+399.8
267,2/5/2020,+586.39
268,9/19/2021,+179.41
269,2/9/2023,+889.63
270,11/10/2021,+187.49
271,4/4/2021,-615.94
272,9/13/2021,-704.24
273,2/4/2022,+129.29
274,6/14/2023,-762.8
275,11/16/2021,+272.85
276,6/5/2021,-334.58
277,10/6/2024,-823.85
278,2/2/2020,-846.58
279,9/14/2024,+190.75
280,11/6/2022,-823.68
281,5/2/2021,+651.2
282,8/3/2020,+308.45
283,2/11/2020,+317.52
284,9/4/2022,+843.42
285,7/15/2024,+639.41
286,2/18/2024,+991.11
287,10/5/2022,+495.41
288,11/5/2021,-168.1
289,8/17/2023,-932.46
290,4/4/2020,+187.51
291,4/5/2022,-429.86
292,4/19/2022,+339.4
293,4/6/2020,+109.84
294,4/17/2024,-754.35
295,8/10/2024,-900.43
296,3/2/2021,-438.2
297,7/10/2020,-990.54
298,3/8/2024,-988.8
299,10/12/2022,-796.57
300,6/17/2022,-728.16
301,2/13/2023,-162.71
302,3/11/2024,-511.15
303,5/8/2020,-340.03
304,11/8/2021,-847.26
305,2/18/2022,-927.27
306,4/7/2023,+438.29
307,10/4/2023,+973.03
308,2/16/2021,+835.62
309,2/1/2024,-390.14
310,2/15/2022,-403.72
311,6/5/2021,-306.03
312,6/3/2021,-81.76
313,7/4/2021,-427.69
314,4/11/2024,-71.84
315,6/6/2020,+298.63
316,7/1/2024,-686.52
317,8/9/2023,-562.62
318,11/5/2021,+570.59
319,5/12/2023,+80.12
320,9/9/2024,-755.51
321,3/18/2021,+877.41
322,3/6/2021,+198.4
323,4/3/2024,+310.11
324,8/2/2020,-531.4
325,8/14/2023,-903.06
326,7/10/2021,-151.42
327,9/3/2020,-461.05
328,9/1/2024,-705.88
329,1/3/2023,+282.14
330,2/10/2024,+465.16
331,10/14/2021,+252.19
332,1/10/2020,+23.34
333,11/17/2023,+512.02
334,6/17/2023,-313.44
335,5/15/2020,+858.77
336,1/15/2020,+211.12
337,11/17/2021,-697.02
338,3/14/2022,+195.71
339,3/19/2022,-964.79
340,10/14/2023,-557.57
341,10/17/2022,-777.13
342,11/7/2023,+575.9
343,8/9/2023,+643.55
344,2/15/2020,-153.25
345,3/4/2023,-329.46
346,4/1/2021,+559.53
347,11/17/2021,+358.9
348,6/4/2021,+414.73
349,4/1/2022,-6.22
350,11/9/2023,-88.28
351,9/5/2022,-389.07
352,7/10/2024,-406.44
353,7/3/2021,+685.1
354,11/15/2022,+947.57
355,10/5/2022,+406.92
356,1/9/2021,+303.39
357,4/12/2021,+315.27
358,1/14/2021,-917.08
359,1/6/2023,-525.59
360,4/18/2021,-224.42
